asset_id,asset_type,short_name,title,section_label,placement,priority,status,data_source_dir,primary_input_files,producer_script,export_targets,main_or_appendix,caption_status,notes
FIG01,figure,architecture,QFlow architecture and decision dataflow,sec:architecture,after-first-architecture-paragraph,mandatory,frozen,results/paper/data/figures/fig01_architecture,architecture_diagram_source;block_labels;pipeline_notes,results/paper/scripts/make_fig01_architecture.py,pdf;svg;png,main,revised,Final TikZ version frozen for main paper
FIG02,figure,latency,Decision latency comparison across hardware and software baselines,sec:implementation,after-hardware-results-paragraph,mandatory,frozen,results/paper/data/figures/fig02_latency,tc5_summary;ooc_summary;software_decision_latency_summary,results/paper/scripts/make_fig02_latency.py,pdf;svg;png,main,revised,Final latency plot frozen for main paper
FIG03,figure,blocking,Blocking probability versus offered load,sec:results_dynamic,after-dynamic-load-intro,mandatory,planned,results/paper/data/figures/fig03_blocking,mesh16_blocking.csv;irregular12_blocking.csv,results/paper/scripts/make_fig03_blocking.py,pdf;svg;png,main,draft-needed,Two-panel main-paper figure
FIG04,figure,fidelity_cdf,End-to-end fidelity CDF under dynamic load,sec:results_dynamic,after-blocking-figure,mandatory,planned,results/paper/data/figures/fig04_fidelity_cdf,mesh16_fidelity_cdf.csv;irregular12_fidelity_cdf.csv,results/paper/scripts/make_fig04_fidelity_cdf.py,pdf;svg;png,main,draft-needed,Two-panel main-paper figure
FIG05,figure,heatmap,Per-link utilization heatmap for load spreading comparison,sec:results_dynamic,after-fidelity-figure,mandatory,planned,results/paper/data/figures/fig05_heatmap,mesh16_keyaware_link_usage.csv;mesh16_ga_proxy_link_usage.csv,results/paper/scripts/make_fig05_heatmap.py,pdf;svg;png,main,draft-needed,Use identical color scale and edge ordering
FIG06,figure,scalability,Scalability trend across topology sizes,sec:results_dynamic,after-heatmap-figure,mandatory,planned,results/paper/data/figures/fig06_scalability,scalability_summary.csv,results/paper/scripts/make_fig06_scalability.py,pdf;svg;png,main,draft-needed,Keep single clear y-metric in main paper
TAB01,table,resources_timing,Resource utilization and timing summary,sec:implementation,near-figure-latency,mandatory,in_progress,results/paper/data/tables/tab01_resources_timing,tc5_impl_summary.json;qflow_top_tc5_impl_ooc_summary.json,results/paper/scripts/make_tab01_resources_timing.py,tex;csv;png,main,draft-needed,Building main paper resource/timing table
TAB02,table,verification_error,Approximation and verification error summary,sec:verification,after-verification-text,mandatory,planned,results/paper/data/tables/tab02_verification_error,approx_error_summary.csv;hw_vs_python_check.csv,results/paper/scripts/make_tab02_verification_error.py,tex;csv;png,main,draft-needed,Separate LUT approximation from end-to-end mismatch
TAB03,table,baseline_summary,Condensed baseline comparison summary,sec:results_summary,near-conclusion-of-results,mandatory,planned,results/paper/data/tables/tab03_baseline_summary,static_baseline_summary.csv;dynamic_baseline_summary.csv,results/paper/scripts/make_tab03_baseline_summary.py,tex;csv;png,main,draft-needed,Reviewer-facing summary table with honest wording
TABA1,table,related_work_positioning,Related-work positioning versus prior routing and FPGA studies,sec:related,near-end-of-related-work,optional,planned,results/paper/data/tables/tabA_related_work_positioning,related_work_positioning.csv,N/A,tex;csv;png,appendix,draft-needed,Move to appendix if space is tight
APPFIG01,figure,blocking_mesh9,Blocking probability versus load for Mesh-9,app:dynamic_extra,appendix,secondary,planned,results/paper/appendix/figures,mesh9_blocking.csv,N/A,pdf;svg;png,appendix,draft-needed,Appendix only
APPFIG02,figure,fidelity_mesh9,Fidelity CDF for Mesh-9,app:dynamic_extra,appendix,secondary,planned,results/paper/appendix/figures,mesh9_fidelity_cdf.csv,N/A,pdf;svg;png,appendix,draft-needed,Appendix only
APPFIG03,figure,timing_history,Timing-closure evolution from tc3 to tc5,app:hardware_extra,appendix,secondary,planned,results/paper/appendix/figures,tc3_summary;tc4_summary;tc5_summary,N/A,pdf;svg;png,appendix,draft-needed,Useful for thesis and rebuttal support
APPFIG04,figure,verification_scatter,Hardware versus Python verification scatter and residuals,app:verification_extra,appendix,secondary,planned,results/paper/appendix/figures,hw_vs_python_samples.csv,N/A,pdf;svg;png,appendix,draft-needed,Appendix only
