topology,nodes,algorithm,representative_rate,blocking_probability,mean_bottleneck_fidelity
mesh9,9,distance,10,0.4430133333333333,0.9659749541033331
mesh9,9,keyaware,10,0.4430133333333333,0.9665570492974552
mesh9,9,random,10,0.4416366666666667,0.9638867549222343
mesh9,9,ga_tcheby_proxy,10,0.44255666666666665,0.9666326654436872
mesh16,16,distance,10,0.4802266666666667,0.9662925797934502
mesh16,16,keyaware,10,0.4802266666666667,0.967539692438487
mesh16,16,random,10,0.48097666666666666,0.963419765795773
mesh16,16,ga_tcheby_proxy,10,0.48007000000000005,0.9675713855582845
irregular12,12,distance,10,0.5052233333333334,0.9611322745091292
irregular12,12,keyaware,10,0.5052233333333334,0.9614692071232466
irregular12,12,random,10,0.5054666666666666,0.9525071527175711
irregular12,12,ga_tcheby_proxy,10,0.5062433333333334,0.9606670736878146
