case_id,x_q4_13,f_init_q016,expected_q016,observed_q016,abs_diff_lsb,pass
0,0,63569,63568,63569,1,1
1,8192,63569,23385,23386,1,1
2,65536,63569,0,0,0,1
3,4096,63569,38555,38557,2,1
4,0,63569,63568,63569,1,1
5,1024,63569,56098,56099,1,1
6,2048,63569,49507,49508,1,1
7,3072,63569,43690,43691,1,1
8,4096,63569,38555,38557,2,1
9,5120,63569,34025,34026,1,1
10,6144,63569,30027,30028,1,1
11,7168,63569,26499,26499,0,1
12,8192,63569,23385,23386,1,1
13,9216,63569,20637,20638,1,1
14,10240,63569,18212,18213,1,1
15,11264,63569,16072,16073,1,1
16,12288,63569,14184,14184,0,1
17,13312,63569,12517,12518,1,1
18,14336,63569,11046,11046,0,1
19,15360,63569,9748,9749,1,1
20,16384,63569,8602,8603,1,1
21,17408,63569,7592,7592,0,1
22,18432,63569,6699,6700,1,1
23,19456,63569,5913,5913,0,1
24,20480,63569,5217,5218,1,1
25,21504,63569,4604,4605,1,1
26,22528,63569,4064,4064,0,1
27,23552,63569,3586,3586,0,1
28,24576,63569,3165,3165,0,1
29,25600,63569,2792,2793,1,1
30,26624,63569,2464,2465,1,1
31,27648,63569,2174,2175,1,1
32,28672,63569,1919,1920,1,1
33,29696,63569,1693,1694,1,1
34,30720,63569,1494,1495,1,1
35,31744,63569,1319,1319,0,1
36,32768,63569,1163,1164,1,1
37,33792,63569,1027,1027,0,1
38,34816,63569,906,907,1,1
39,35840,63569,800,800,0,1
40,36864,63569,706,706,0,1
41,37888,63569,622,623,1,1
42,38912,63569,549,550,1,1
43,39936,63569,484,485,1,1
44,40960,63569,428,429,1,1
45,41984,63569,378,378,0,1
46,43008,63569,333,334,1,1
47,44032,63569,293,294,1,1
48,45056,63569,259,260,1,1
49,46080,63569,228,229,1,1
50,47104,63569,202,203,1,1
51,48128,63569,178,178,0,1
52,49152,63569,157,157,0,1
53,50176,63569,138,139,1,1
54,51200,63569,123,123,0,1
55,52224,63569,108,109,1,1
56,53248,63569,96,96,0,1
57,54272,63569,84,84,0,1
58,55296,63569,74,75,1,1
59,56320,63569,65,66,1,1
60,57344,63569,58,58,0,1
61,58368,63569,51,51,0,1
62,59392,63569,45,46,1,1
63,60416,63569,39,40,1,1
64,61440,63569,34,35,1,1
65,62464,63569,31,31,0,1
66,63488,63569,27,27,0,1
67,64512,63569,24,24,0,1
68,65536,63569,0,0,0,1
