cycle,cfg_we,cfg_addr,cfg_wdata,fdpe_valid,fdpe_addr,fdpe_fidelity,ga_rd_en,ga_rd_addr,exp_ga_valid,obs_ga_valid,exp_ga_edge,obs_ga_edge,exp_ga_weight,obs_ga_weight,pass
0,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
1,1,3,07ae0800f100000a,0,0,0,0,0,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
2,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
3,0,0,0000000000000000,0,0,0,1,3,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
4,0,0,0000000000000000,0,0,0,0,0,1,1,07ae0800f100000a,07ae0800f100000a,0001d0db,0001d0db,1
5,1,5,051e0600e8000008,0,0,0,0,0,0,0,0000000000000000,07ae0800f100000a,ffffffff,0001d0db,1
6,0,0,0000000000000000,0,0,0,1,5,0,0,0000000000000000,07ae0800f100000a,ffffffff,0001d0db,1
7,0,0,0000000000000000,0,0,0,0,0,1,1,051e0600e8000008,051e0600e8000008,0001e74a,0001e74a,1
8,0,0,0000000000000000,1,3,51200,0,0,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
9,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
10,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
11,0,0,0000000000000000,0,0,0,1,3,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
12,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
13,1,7,028f0400d0000000,0,0,0,0,0,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
14,0,0,0000000000000000,0,0,0,1,7,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
15,0,0,0000000000000000,0,0,0,0,0,1,1,028f0400d0000000,028f0400d0000000,ffffffff,ffffffff,1
16,1,9,028f0000d8000006,0,0,0,0,0,0,0,0000000000000000,028f0400d0000000,ffffffff,ffffffff,1
17,0,0,0000000000000000,0,0,0,1,9,0,0,0000000000000000,028f0400d0000000,ffffffff,ffffffff,1
18,0,0,0000000000000000,0,0,0,0,0,1,1,028f0000d8000006,028f0000d8000006,ffffffff,ffffffff,1
19,1,11,03d70700ee00000c,0,0,0,0,0,0,0,0000000000000000,028f0000d8000006,ffffffff,ffffffff,1
20,0,0,0000000000000000,1,11,46080,1,11,0,0,0000000000000000,028f0000d8000006,ffffffff,ffffffff,1
21,0,0,0000000000000000,0,0,0,1,5,0,0,0000000000000000,0000000000000000,ffffffff,ffffffff,1
22,0,0,0000000000000000,0,0,0,0,0,1,1,051e0600e8000008,051e0600e8000008,0001e74a,0001e74a,1
23,0,0,0000000000000000,0,0,0,0,0,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
24,0,0,0000000000000000,0,0,0,1,11,0,0,0000000000000000,051e0600e8000008,ffffffff,0001e74a,1
25,0,0,0000000000000000,0,0,0,0,0,1,1,03d70700b400000c,03d70700b400000c,0002516e,0002516e,1
